Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Control-Flow Instructions,Bit-Convert Instructions,Misc Instructions,Load/Store Instructions,FP Instructions(Single),Integer Instructions,FP Instructions(Double),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Instructions Executed,Instructions Issued,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Local Memory Cache Replay Overhead,Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Local Memory Overhead(%),Issued IPC,Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Instructions per warp,Issue Slot Utilization(%),Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,Executed Control-Flow Instructions,Issued Control-Flow Instructions,System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),Floating Point Operations(Double Precision),L2 Throughput (L1 Writes)(bytes/sec),L2 Transactions (Atomic requests),Floating Point Operations(Double Precision Add),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Executed Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precison FMA),Atomic Transactions Per Request,Atomic Transactions,Atomic Replay Overhead,Inter-Thread Instructions,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),FLOP Efficiency(Peak Double)(%),Issue Stall Reasons (Not Selected)(%),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Executed IPC,Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Global Memory Cache Replay Overhead
"memset (0)",300430441,6080,,,,,,,,,,80000,13157894736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301595145,141440,,,,,,,,,,784000,5542986425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301750185,1024,,,,,,,,,,552,539062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301807945,15968,,,,,,,,,,80000,5010020040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301861129,15776,,,,,,,,,,80000,5070993914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301913353,15552,,,,,,,,,,80000,5144032921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",301969353,7999,,,,,,,,,,40000,5000625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",302038984,921760,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,37.86,0.405,99.843,96.791,3382380,8430000,11515060,5070940,810000,31001933,12910219,0,3.199,0,0,0,2411799,6873732,Low (1),Idle,0,0,6452925,0,Low (3),0.653,Low (1),Mid (6),Low (1),Mid (4),Low (1),0,39177074211,34662227905,58420434022,24352422794,0.147,0.987,0,0,80.221,0,58456687242,1,1,10.835,28.445,7536.872,23.161,0,1.003,1431123,695021,0,5,0,626,5780,3520,1585949733,137192,0,953267,1715416,1142248,1010613,0,254985,261939,171491,0,32695362130,58835716881,965837900,19000196,24438168346,0,2970220,0,712520,0,0,0,1704365,0,3663098,166453,0,4.788,8.34,28.825,790000,1.771,3770000,6129988,0,0,0,0,980863,8.606,33641855833,0,0.147,37.838,1.756,9.032,0,82.386,0,22047325113,3644357460,0.345,1.85,0,0.824,0
"sum_kernel(double*, int)",302964008,6272,20,1,1,512,1,1,18,0,0,,,0,25,25,0.298,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.705,0,0,0,2976,4807,Low (1),Idle,0,0,3732,0,Low (1),0.912,Low (1),Low (1),Low (1),Low (1),Low (1),0,15748031,251968503,78740157,3937007,0,0.317,0,0,80,0,78740157,0,0,1,1,9.3,6.145,0,0,20,1,0,5,0,0,0,0,0,0,0,3,236,4,64,0,329,329,19685039,0,11811023,929133858,0,21,3937007,0,20,0,1,0,0,0,20,0,62,21,0,0,11.595,0.685,0,39.253,1,0,0,0,0,0,22,3.822,86614173,0,40.955,0.026,0,2.752,0,15.356,0,19685039,984251,0.198,0.615,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",302973512,3182398,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,35.963,75247,20003,344818,70083,20003,402138,180019,0,0.092,0,0,0,101954,162951,Low (1),Idle,0,0,131975,0,Low (1),0.033,Low (1),Low (1),Low (1),Low (1),Low (1),0,111670399,19492583,126008501,150735948,0,0.071,0,0,92.361,0,126008501,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,5,0,0,626,640,50318999,0,0,15004,14753,11114,1940,0,12595,12935,50238,0,150756044,148234065,51444344,320025,150735948,0,19999,0,15002,0,0,0,12541,0,44805,22848,0,92.123,2.1,3.588,20002,1.228,20002,140012,0,0,0,0,3728,0.097,37457913,0,0.371,0.247,0.009,0.213,0,7.842,0,50340350,75361694,0.044,0.598,0,0.009,0
