==6591== NVPROF is profiling process 6591, command: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==6591== Profiling application: ./thrust_particle_filter -x 128 -y 128 -z 1000 -np 10000
==6591== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 48.33%  1.67812s       999  1.6798ms  1.5447ms  2.0260ms  void thrust::binary_transform_kernel<double, double, int, get_indexYOYOYOYO>(long, double*, double*, int*, get_indexYOYOYOYO)
 46.58%  1.61758s       999  1.6192ms  1.6013ms  2.3312ms  void thrust::binary_transform_kernel<double, int, double, calc_likelihood_sumYOYOYOYO>(long, double*, int*, double*, calc_likelihood_sumYOYOYOYO)
  2.82%  98.062ms       999  98.160us  95.488us  474.85us  void thrust::for_each_kernel<int, ind_calcYOYOYOYO>(long, int*, ind_calcYOYOYOYO)
  0.80%  27.792ms       999  27.819us  27.520us  33.376us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=512, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=3>, unsigned long=512>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::scan_detail::inclusive_scan_n, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::detail::normal_iterator<thrust::device_ptr<double>>, long, thrust::detail::normal_iterator<thrust::device_ptr<double>>, thrust::plus<double>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=3)
  0.66%  22.978ms      1998  11.500us  10.944us  14.304us  void thrust::binary_transform_kernel<double, int, double, randn_transformYOYOYOYO>(long, double*, int*, double*, randn_transformYOYOYOYO)
  0.16%  5.6591ms      1998  2.8320us  2.3360us  4.0320us  void thrust::reduce_kernel<double>(double*, double, int)
  0.12%  4.0914ms      2003  2.0420us     544ns  1.6879ms  [CUDA memcpy HtoD]
  0.11%  3.8269ms      1998  1.9150us  1.3440us  2.3680us  void thrust::binary_transform_kernel<double, int, double, update_coordsYOYOYOYO>(long, double*, int*, double*, update_coordsYOYOYOYO)
  0.11%  3.7829ms       999  3.7860us  3.6800us  4.5440us  void thrust::binary_transform_kernel<double, double, double, exp_transformYOYOYOYO>(long, double*, double*, double*, exp_transformYOYOYOYO)
  0.11%  3.7306ms      1998  1.8670us  1.6640us  3.4560us  void thrust::for_each_kernel<double, normalize_weightsYOYOYOYO>(long, double*, normalize_weightsYOYOYOYO)
