==31751== NVPROF is profiling process 31751, command: ./shared-descent.o 100 0.05
==31751== Profiling application: ./shared-descent.o 100 0.05
==31751== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 77.37%  149.71ms    100000  1.4970us  1.3760us  9.6960us  void thrust::binary_reduce_kernel<float, thrust::multiplies<float>, unsigned int=4>(float*, float, float, unsigned int, float)
 17.12%  33.132ms    100000     331ns     320ns  2.7520us  [CUDA memcpy DtoH]
  5.34%  10.334ms       100  103.34us  48.480us  161.64us  void thrust::unary_transform_kernel<thrust::detail::normal_iterator<thrust::device_ptr<floatD>>, thrust::detail::normal_iterator<thrust::device_ptr<float>>, dotProductFunctor>(long, floatD, thrust::device_ptr<floatD>, thrust::detail::normal_iterator<thrust::device_ptr<floatD>>)
  0.10%  197.54us       100  1.9750us  1.0560us  2.6560us  void thrust::binary_transform_kernel<thrust::detail::normal_iterator<thrust::device_ptr<float>>, thrust::detail::normal_iterator<thrust::device_ptr<float>>, thrust::detail::normal_iterator<thrust::device_ptr<float>>, thrust::minus<float>>(long, float, thrust::device_ptr<float>, thrust::detail::normal_iterator<thrust::device_ptr<float>>, thrust::detail::normal_iterator<thrust::device_ptr<float>>)
  0.06%  118.11us       104  1.1350us     704ns  6.6880us  [CUDA memcpy HtoD]
  0.00%  3.2640us         2  1.6320us     960ns  2.3040us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<float>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<float>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)

==31751== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 84.26%  17.2696s    100200  172.35us  160.79us  1.9865ms  cudaGetDeviceProperties
  7.76%  1.59091s    100000  15.909us  9.6530us  15.274ms  cudaMemcpy
  3.16%  648.46ms    100202  6.4710us  5.0660us  306.33us  cudaLaunch
  2.57%  526.30ms    100006  5.2620us  3.7100us  116.43ms  cudaMalloc
  1.79%  366.23ms    100006  3.6620us  3.3440us  101.38us  cudaFree
  0.33%  68.203ms    500902     136ns     100ns  227.13us  cudaSetupArgument
  0.12%  24.555ms    100202     245ns     168ns  263.09us  cudaConfigureCall
  0.00%  610.98us       100  6.1090us  4.7080us  15.430us  cudaMemcpyToSymbol
  0.00%  554.83us       208  2.6670us  1.3250us  15.133us  cudaFuncGetAttributes
  0.00%  233.73us        91  2.5680us     106ns  92.671us  cuDeviceGetAttribute
  0.00%  219.94us       811     271ns     207ns  10.620us  cudaDeviceGetAttribute
  0.00%  170.21us         1  170.21us  170.21us  170.21us  cuDeviceTotalMem
  0.00%  165.84us       200     829ns     527ns  1.7410us  cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
  0.00%  111.58us       206     541ns     210ns  1.3170us  cudaGetDevice
  0.00%  32.144us         4  8.0360us  2.9010us  16.251us  cudaMemcpyAsync
  0.00%  29.396us         1  29.396us  29.396us  29.396us  cuDeviceGetName
  0.00%  3.1780us         2  1.5890us  1.3900us  1.7880us  cudaEventCreateWithFlags
  0.00%  2.0180us         2  1.0090us     597ns  1.4210us  cudaEventRecord
  0.00%  1.6410us         3     547ns     119ns  1.1820us  cuDeviceGetCount
  0.00%  1.5660us         2     783ns     485ns  1.0810us  cudaEventDestroy
  0.00%     953ns         3     317ns     128ns     634ns  cuDeviceGet
